timestamp,form,are.you.a.PG,are.you.a.boarder,how.many.classes.taking,middle.name,how.neat.is.your.room,home.miles.away.from.choate,do.you.like.veg.out.monday
9/16/22 8:26,6th,No,Yes,6,Marie,0,470.0,No
9/16/22 8:26,6th,No,Yes,5,n/a,4,2884.0,Sometimes
9/16/22 8:26,6th,No,No,5,Alexandra,3,20.0,No
9/16/22 8:26,6th,No,Yes,5,Arthur,4,8400.0,No
9/16/22 8:26,5th,No,Yes,5,Mary,3,1084.0,Sometimes
9/16/22 8:26,6th,No,Yes,6,Sturdivant,2,355.0,No
9/16/22 8:26,6th,No,Yes,5,Elizabeth,4,2894.0,Sometimes
9/16/22 8:26,6th,No,No,5,Patrick ,2,19.0,No
9/16/22 8:30,5th,No,Yes,6,Michael,4,79.0,Yes
9/16/22 9:30,6th,No,Yes,5,Minjae,4,6818.0,No
9/16/22 9:30,6th,No,No,5,David,4,27.0,No
9/16/22 9:30,6th,No,Yes,5,William,4,352.0,No
9/16/22 9:31,6th,No,No,5,Sequioa,4,5.7,Sometimes
9/16/22 9:31,6th,No,Yes,5,Hart,4,3000.0,Yes
9/16/22 9:31,6th,No,Yes,5,Lance,5,6828.0,No
9/16/22 9:31,6th,No,No,5,Mackenzie,2,15.0,No
9/16/22 9:32,6th,No,Yes,5,Florestine,2,32.7,No
9/16/22 9:33,6th,No,Yes,6,ryu,4,6958.0,Yes
9/16/22 9:34,5th,No,Yes,6,Elizabeth,2,968.0,Sometimes
9/17/22 9:34,4th,No,No,7,n/a,0,3.0,Yes
9/16/22 9:52,6th,Yes,Yes,5,zimmer,3,2896,No
9/16/22 9:53,6th,Yes,Yes,5,Kenneth,3,2998.2,No