year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute,1:nrow(fly),is.late
2013,1,10,1955,-5,2055,-48,DL,N322NB,402,JFK,BOS,36,187,19,55,3417,FALSE
2013,8,25,1552,-7,1825,-18,DL,N981DL,847,LGA,ATL,97,762,15,52,3331,FALSE
2013,5,17,1459,0,1727,-5,DL,N660DL,2347,LGA,ATL,103,762,14,59,3142,FALSE
2013,5,5,2023,-2,2253,-32,DL,N3730B,1729,JFK,LAS,288,2248,20,23,1115,FALSE
2013,5,15,1833,4,2025,-14,DL,N320US,2019,LGA,MSP,151,1020,18,33,3033,FALSE
2013,8,2,1131,-4,1439,-12,DL,N944DL,954,LGA,FLL,147,1076,11,31,1059,FALSE
2013,5,14,1257,-3,1528,-22,DL,N921DL,1685,LGA,MCO,122,950,12,57,1924,FALSE
2013,5,2,1926,16,2235,4,DL,N3752,83,JFK,FLL,156,1069,19,26,4424,TRUE
2013,11,16,810,-5,1059,10,DL,N655DL,1429,JFK,LAS,322,2248,8,10,616,TRUE
2013,6,2,1437,-3,1632,-13,DL,N916DL,1819,LGA,MSP,148,1020,14,37,3489,FALSE
2013,3,14,1742,27,2053,29,DL,N372NW,1779,LGA,FLL,154,1076,17,42,416,TRUE
2013,10,25,1404,34,1608,15,DL,N355NB,2043,JFK,ATL,103,760,14,4,521,TRUE
2013,5,13,824,-6,1052,-36,DL,N3769L,857,JFK,SAN,294,2446,8,24,4140,FALSE
2013,12,8,1413,-2,1640,2,DL,N711ZX,673,EWR,ATL,126,746,14,13,1451,TRUE
2013,5,18,1555,-5,1810,-26,DL,N540US,847,LGA,ATL,104,762,15,55,4258,FALSE
2013,4,16,1711,-4,2015,-22,DL,N3744F,503,JFK,SAN,341,2446,17,11,3474,FALSE
2013,5,14,712,7,1007,-4,DL,N362NW,1879,LGA,FLL,145,1076,7,12,1794,FALSE
2013,6,17,1458,3,1701,-14,DL,N369NB,127,JFK,DTW,88,509,14,58,2656,FALSE
2013,8,11,1450,-5,1635,5,DL,N338NB,1164,JFK,BOS,40,187,14,50,1697,TRUE
2013,1,31,1916,-4,2305,19,DL,N393DA,83,JFK,FLL,166,1069,19,16,1134,TRUE
2013,9,3,1441,1,1750,8,DL,N318NB,1902,LGA,PBI,168,1035,14,41,1739,TRUE
2013,3,3,1258,-2,1806,15,DL,N3767,315,JFK,SJU,222,1598,12,58,590,TRUE
2013,7,6,1603,-2,1911,-10,DL,N3753,1394,JFK,PDX,321,2454,16,3,2895,FALSE
2013,2,12,557,-3,836,-1,DL,N387DA,461,LGA,ATL,129,762,5,57,4112,FALSE
2013,2,14,1834,-6,2025,-24,DL,N329NW,2131,LGA,DTW,86,502,18,34,880,FALSE
2013,2,7,758,-1,1035,-4,DL,N675DL,2047,LGA,ATL,123,762,7,58,2170,FALSE
2013,5,23,1128,-2,1455,24,DL,N945DL,1875,LGA,TPA,142,1010,11,28,291,TRUE
2013,9,24,1243,-16,1537,-20,DL,N3751B,1375,JFK,SLC,277,1990,12,43,2568,FALSE
2013,11,29,1904,-6,2156,-7,DL,N952DL,2159,JFK,MCO,134,944,19,4,601,FALSE
2013,6,27,1530,0,1832,-8,DL,N325US,1935,LGA,TPA,145,1010,15,30,2689,FALSE
2013,2,4,1108,-6,1342,27,DL,N325NB,1031,LGA,DTW,126,502,11,8,3614,TRUE
2013,4,1,1002,62,1320,64,DL,N322NB,874,LGA,MIA,165,1096,10,2,969,TRUE
2013,11,21,805,-5,1124,8,DL,N3759,857,JFK,SAN,356,2446,8,5,839,TRUE
2013,4,5,801,-4,1120,14,DL,N344NW,2395,LGA,PBI,171,1035,8,1,4054,TRUE
2013,8,21,1829,-1,2021,-17,DL,N364NB,2131,LGA,DTW,78,502,18,29,3426,FALSE
2013,7,5,654,-6,908,-21,DL,N900PC,1547,LGA,ATL,105,762,6,54,32,FALSE
2013,7,22,1328,-2,1607,9,DL,N328NB,2043,JFK,ATL,117,760,13,28,408,TRUE
2013,3,17,906,-4,1209,-4,DL,N330NW,1885,LGA,MCO,138,950,9,6,451,FALSE
2013,8,22,801,-4,1123,28,DL,N320US,1109,LGA,TPA,136,1010,8,1,812,TRUE
2013,3,23,1851,-4,2153,21,DL,N185DN,951,JFK,ATL,121,760,18,51,3803,TRUE
2013,5,17,1938,-2,2247,4,DL,N953DL,1435,LGA,TPA,136,1010,19,38,3085,TRUE
2013,7,16,1223,-7,1612,14,DL,N911DE,2098,LGA,MIA,164,1096,12,23,4326,TRUE
2013,6,1,1740,-5,2009,-38,DL,N911DL,2370,LGA,PBI,130,1035,17,40,2120,FALSE
2013,5,16,1915,0,2104,-50,DL,N383DN,245,JFK,PHX,268,2153,19,15,4366,FALSE
2013,7,31,1744,9,2041,-27,DL,N702TW,1543,JFK,SEA,329,2422,17,44,2068,FALSE
2013,3,12,1844,149,2035,123,DL,N333NW,1619,LGA,MSP,135,1020,18,44,4028,TRUE
2013,4,28,2000,0,2107,-17,DL,N378NW,985,JFK,BOS,40,187,20,0,3370,FALSE
2013,7,1,854,-6,1341,104,DL,N912DE,1885,LGA,MCO,148,950,8,54,1203,TRUE
2013,6,25,1502,7,1704,-11,DL,N339NB,127,JFK,DTW,84,509,15,2,373,FALSE
2013,8,28,1813,-2,2136,-4,DL,N192DN,17,JFK,LAX,317,2475,18,13,4691,FALSE
2013,11,7,1750,25,2058,26,DL,N395DN,1519,EWR,SLC,283,1969,17,50,486,TRUE
2013,3,22,914,-1,1229,-3,DL,N324US,2379,LGA,FLL,157,1076,9,14,4056,FALSE
2013,4,1,1607,-8,1802,-29,DL,N366NB,1619,LGA,MSP,144,1020,16,7,3990,FALSE
2013,12,14,738,-7,1022,8,DL,N935AT,807,EWR,ATL,124,746,7,38,4580,TRUE
2013,9,2,2136,156,23,171,DL,N993DL,947,LGA,ATL,115,762,21,36,2599,TRUE
2013,2,20,1233,-7,1411,-35,DL,N364NB,1131,LGA,DTW,83,502,12,33,352,FALSE
2013,6,23,726,-4,907,-23,DL,N982DL,831,LGA,DTW,76,502,7,26,84,FALSE
2013,6,2,1000,0,1247,16,DL,N689DL,1847,LGA,ATL,110,762,10,0,3732,TRUE
2013,8,18,1559,-1,1843,-1,DL,N931DL,847,LGA,ATL,125,762,15,59,1746,FALSE
2013,8,28,2315,436,158,399,DL,N3763D,1373,JFK,MIA,134,1089,23,15,2874,TRUE
2013,9,18,1450,-5,1601,-13,DL,N722TW,1164,JFK,BOS,44,187,14,50,4290,FALSE
2013,12,13,1826,-4,2039,-15,DL,N933DL,2331,JFK,DTW,93,509,18,26,4513,FALSE
2013,10,14,1337,-3,1630,-23,DL,N985DL,1779,LGA,FLL,142,1076,13,37,298,FALSE
2013,11,27,2022,7,2351,-3,DL,N199DN,427,JFK,LAX,326,2475,20,22,4329,FALSE
2013,2,27,1126,14,1325,2,DL,N315NB,1573,LGA,MEM,150,963,11,26,3770,TRUE
2013,2,20,1127,-3,1412,-18,DL,N971DL,2297,JFK,MCO,141,944,11,27,1976,FALSE
2013,12,8,813,-2,1120,-15,DL,N996DL,2087,JFK,FLL,157,1069,8,13,2260,FALSE
2013,12,10,1334,34,1634,54,DL,N980DL,781,LGA,ATL,134,762,13,34,92,TRUE
2013,7,8,1447,32,1659,30,DL,N306DQ,673,EWR,ATL,101,746,14,47,1175,TRUE
2013,1,22,1742,22,2130,57,DL,N365NW,1779,LGA,FLL,173,1076,17,42,1374,TRUE
2013,12,6,1727,-3,2206,54,DL,N727TW,434,JFK,SFO,438,2586,17,27,3154,TRUE
2013,2,17,1537,-3,1852,-17,DL,N357NW,1411,JFK,FLL,165,1069,15,37,3610,FALSE
2013,11,11,1828,-2,2141,-19,DL,N718TW,442,JFK,SEA,328,2422,18,28,449,FALSE
2013,6,26,1634,35,2005,82,DL,N900DE,847,LGA,ATL,106,762,16,34,852,TRUE
2013,7,31,1606,7,1852,-18,DL,N3748Y,706,JFK,AUS,195,1521,16,6,807,FALSE
2013,8,11,858,-2,1240,44,DL,N705TW,120,JFK,LAX,349,2475,8,58,123,TRUE
2013,8,9,1228,-2,1538,-20,DL,N335NB,2098,LGA,MIA,159,1096,12,28,1433,FALSE
2013,8,19,914,-1,1212,-16,DL,N3744F,2379,LGA,FLL,157,1076,9,14,4689,FALSE
2013,12,2,1639,-6,2014,0,DL,N707TW,477,JFK,LAX,339,2475,16,39,3757,FALSE
2013,9,21,1758,-2,1939,-22,DL,N342NB,2331,LGA,DTW,80,502,17,58,3383,FALSE
2013,8,27,1157,-3,1411,-25,DL,N680DA,1947,LGA,ATL,91,762,11,57,2690,FALSE
2013,8,26,819,-7,1049,-23,DL,N177DZ,1959,JFK,MCO,119,944,8,19,1266,FALSE
2013,9,25,756,-4,1035,-15,DL,N3732J,1959,JFK,MCO,134,944,7,56,2093,FALSE
2013,2,16,1538,-2,1917,9,DL,N359NB,1411,JFK,FLL,187,1069,15,38,3754,TRUE
2013,3,11,1609,24,1918,11,DL,N937DL,2098,LGA,MIA,152,1096,16,9,2584,TRUE
2013,9,22,1209,9,1436,1,DL,N616DL,1947,LGA,ATL,113,762,12,9,768,TRUE
2013,5,22,1900,15,2225,29,DL,N906DE,2391,JFK,TPA,135,1005,19,0,488,TRUE
2013,8,14,1451,-4,1717,2,DL,N322NB,127,JFK,DTW,86,509,14,51,1450,TRUE
2013,1,25,824,9,1121,3,DL,N388DA,1429,JFK,LAS,322,2248,8,24,1157,TRUE
2013,6,17,1949,19,2246,2,DL,N360NW,1854,LGA,FLL,148,1076,19,49,1519,TRUE
2013,2,7,901,-4,1209,-17,DL,N360NB,2379,LGA,FLL,155,1076,9,1,3537,FALSE
2013,11,12,1840,0,2235,39,DL,N318NB,2139,LGA,MIA,172,1096,18,40,1478,TRUE
2013,5,7,754,-6,936,-25,DL,N365NB,2245,EWR,MSP,131,1008,7,54,4552,FALSE
2013,8,23,1056,1,1347,-24,DL,N346NB,1903,LGA,SRQ,147,1047,10,56,2693,FALSE
2013,3,2,1536,181,1826,157,DL,N3739P,1375,JFK,SLC,268,1990,15,36,1463,TRUE
2013,5,18,1058,-2,1259,-5,DL,N338NB,1031,LGA,DTW,83,502,10,58,1220,FALSE
2013,5,26,1856,-4,2134,-25,DL,N399DA,2159,JFK,MCO,121,944,18,56,2165,FALSE
2013,9,8,1639,-3,1823,-14,DL,N372NW,545,EWR,DTW,83,488,16,39,3920,FALSE
2013,4,30,1723,-2,2020,-16,DL,N314US,1185,EWR,SLC,271,1969,17,23,401,FALSE
2013,5,20,1901,1,2216,-22,DL,N722TW,87,JFK,LAX,318,2475,19,1,2946,FALSE